ticker sector industry price market_cap recommendation
AAAP   37.65 1.66B 2.20
AAL Services "Major Airlines" 44.47 22.05B 2.50
AAMC Financial "Asset Management" 68.10 104.19M none
AAON "Industrial Goods" "General Building Materials" 36.30 1.91B 3.00
AAPL "Consumer Goods" "Electronic Equipment" 148.6169 779.72B 2.00
AAU "Basic Materials" Gold 1.36 122.13M none
AAWW Services "Air Services, Other" 52.20 1.31B 2.20
ABAX Healthcare "Medical Laboratories & Research" 47.42 1.07B 3.00
ABCB Financial "Regional - Mid-Atlantic Banks" 46.75 1.67B 2.50
ABCO Services "Business Services" 51.10 2.06B 2.30
ABCW index_error index_error   index_error
ABDC   14.25 192.32M 2.60
ABGB index_error index_error 1.02 875.31B index_error
ABMD Healthcare "Medical Appliances & Equipment" 133.50 5.80B 1.50
ABY Utilities "Electric Utilities" 20.33 2.04B 2.40
ACAD Healthcare Biotechnology 32.74 3.97B 2.10
ACAS index_error index_error 17.99  index_error
ACAT index_error index_error 18.50  3.40
ACBI   19.10 487.72M 2.80
ACET "Basic Materials" "Chemicals - Major Diversified" 14.45 435.13M 2.30
ACGL Financial "Property & Casualty Insurance" 96.9101 12.99B 2.70
ACHC Healthcare "Specialized Health Services" 44.95 3.95B 1.60
ACHN Healthcare Biotechnology 3.66 500.40M 2.10
ACIW Technology "Technical & System Software" 23.68 2.78B 2.00
ACLS Technology "Semiconductor Equipment & Materials" 21.55 644.71M 2.20
ACOR Healthcare Biotechnology 16.00 732.91M 2.60
ACRS   26.07 680.11M 1.20
ACSF Financial "Asset Management" 13.25  3.00
ACTA Technology "Application Software" 14.30 499.60M 1.70
ACTG Services "Business Services" 4.80 242.24M 2.70
"server error"     "server error"
ACU "Consumer Goods" "Housewares & Accessories" 26.00 86.53M 1.00
ACXM Technology "Information Technology Services" 28.87 2.25B 1.70
ACY Services "Rental & Leasing Services" 9.70 15.19M 2.00
ADAP Healthcare Biotechnology 5.28 373.80M 2.00
ADBE Technology "Application Software" 134.775 66.67B 1.80
ADGE "Industrial Goods" "Diversified Machinery" 0.3162 16.03M 3.00
ADI Technology "Semiconductor - Integrated Circuits" 75.62 23.38B 2.10
ADK Healthcare "Long-Term Care Facilities" 0.96 18.74M 2.00
ADK-PA   22.00 429.51M none
ADNC index_error index_error   index_error
ADP Technology "Business Software & Services" 99.045 44.46B 2.50
ADRO Healthcare Biotechnology 10.025 681.68M 1.80
ADSK Technology "Technical & System Software" 93.24 20.59B 2.20
ADTN Technology "Communication Equipment" 20.075 972.23M 2.40
ADUS Healthcare "Home Health Care" 36.15 412.94M 1.50
ADVS index_error index_error   index_error
AE "Basic Materials" "Oil & Gas Refining & Marketing" 39.66 167.25M none
AEGN "Industrial Goods" "Heavy Construction" 19.95 647.48M 2.50
AEGR index_error index_error   index_error
AEIS Technology "Diversified Electronics" 74.33 2.95B 2.50
AEPI index_error index_error 109.95  index_error
AFAM Healthcare "Home Health Care" 49.85 507.12M 2.00
AFCO index_error index_error 8.65  index_error
AFFX index_error index_error 14.01  index_error
AFSI Financial "Property & Casualty Insurance" 15.62 2.67B 1.60
AGFS Conglomerates Conglomerates 5.71 289.51M 3.00
AGFSW index_error index_error 0.492  none
AGII Financial "Property & Casualty Insurance" 65.45 1.96B 2.60
AGIIL index_error index_error 25.53 146.80B none
AGIO Healthcare Biotechnology 49.6399 2.10B 1.90
AGNC Financial "REIT - Residential" 20.19 6.68B 2.90
AGNCP   25.94 8.59B none
AGYS Technology "Application Software" 10.03 226.78M 1.00
AHGP "Basic Materials" "Nonmetallic Mineral Mining" 29.39 1.76B 3.00
AIII   1.18 24.18M none
AIMC "Industrial Goods" "Industrial Electrical Equipment" 43.00 1.25B 2.20
AIMT Healthcare Biotechnology 19.306 970.11M 1.60
AINC   53.38 107.56M 3.00
AINV Financial "Asset Management" 6.62 1.45B 2.90
AIRI "Industrial Goods" "Aerospace\u002FDefense Products & Services" 3.22 24.63M 2.00
AIRM Services "Air Services, Other" 42.95  3.00
AIXG index_error index_error 3.06  index_error
AKAM Technology "Internet Information Providers" 52.06 9.02B 2.40
AKG "Basic Materials" Gold 2.24 452.10M 2.00
AKRX Healthcare "Drugs - Generic" 33.11 4.12B 2.90
ALCO "Consumer Goods" "Farm Products" 29.85 248.65M 3.00
ALGN Healthcare "Medical Appliances & Equipment" 138.09 11.03B 1.70
ALGT Services "Regional Airlines" 147.00 2.41B 2.50
ALKS Healthcare "Drug Delivery" 59.77 9.13B 2.30
ALLT Technology "Communication Equipment" 4.81 159.28M 3.30
ALN "Consumer Goods" "Processed & Packaged Goods" 0.548 20.97M none
ALNY Healthcare Biotechnology 54.80 4.71B 2.40
ALOG Healthcare "Medical Laboratories & Research" 73.05 912.32M 3.00
ALRM Technology "Application Software" 33.45 1.55B 2.00
ALSK Technology "Telecom Services - Domestic" 2.17 112.74M 2.00
ALTR index_error index_error   index_error
ALXN Healthcare Biotechnology 129.24 28.95B 1.90
AMAG Healthcare "Diagnostic Substances" 19.325 663.60M 2.70
AMAT Technology "Semiconductor Equipment & Materials" 41.83 45.17B 1.90
AMBA Technology "Semiconductor Equipment & Materials" 57.77 1.94B 2.10
AMBC Financial "Surety & Title Insurance" 18.38 831.29M 2.30
AMBCW index_error index_error 9.07  none
AMCC index_error index_error 8.45  index_error
AMCN Services "Marketing Services" 2.30 143.75M 2.00
AMCO Services "Basic Materials Wholesale" 0.0001 814.30 none
AMCX Services "Entertainment - Diversified" 56.19 3.81B 2.70
AMED Healthcare "Home Health Care" 58.96 1.98B 2.20
AMGN Healthcare Biotechnology 163.81 120.56B 2.40
AMKR Technology "Semiconductor - Integrated Circuits" 11.85 2.83B 3.70
AMNB Financial "Regional - Mid-Atlantic Banks" 37.95 327.81M 2.30
AMPE Healthcare Biotechnology 0.9009 51.57M 2.00
AMPH Healthcare "Drug Manufacturers - Other" 14.91 684.52M 3.00
AMRB Financial "Regional - Pacific Banks" 15.00 98.66M 3.00
AMRI Healthcare Biotechnology 15.58 648.72M 1.70
"server error"     "server error"
AMRS "Basic Materials" "Specialty Chemicals" 0.5317 147.98M 2.00
AMS Healthcare "Specialized Health Services" 4.40 24.05M none
AMSC "Industrial Goods" "Industrial Electrical Equipment" 4.075 57.94M 1.60
AMSF Financial "Property & Casualty Insurance" 56.00 1.07B 2.00
AMSG index_error index_error 67.75  index_error
AMSGP index_error index_error 127.92 6.88B index_error
AMSWA Technology "Application Software" 11.01 324.46M 1.50
AMTD Financial "Investment Brokerage - National" 38.97 20.58B 2.30
AMWD "Consumer Goods" "Home Furnishings & Fixtures" 93.70 1.52B 1.50
AMZN Services "Catalog & Mail Order Houses" 933.12 446.03B 1.90
ANAT Financial "Property & Casualty Insurance" 116.39 3.12B none
ANDE "Consumer Goods" "Farm Products" 33.00 924.20M 1.80
ANGI Technology "Internet Software & Services" 10.71 636.48M 2.60
ANGO Healthcare "Medical Instruments & Supplies" 15.60 573.77M 2.70
ANIK Healthcare Biotechnology 44.75 655.05M 2.30
ANSS Technology "Application Software" 120.56 10.29B 2.80
AOSL Technology "Semiconductor - Specialized" 18.76 442.83M 2.30
APEI Services "Education & Training Services" 22.55 365.42M 3.00
APHB Healthcare Biotechnology 1.20 1.98M 2.00
APIC index_error index_error 17.375  index_error
APLP   15.93 1.04B 2.40
APOG "Industrial Goods" "General Building Materials" 55.16 1.58B 1.80
APOL index_error index_error 9.995  index_error
APP index_error index_error   index_error
APT "Industrial Goods" "General Building Materials" 2.95 45.46M 3.00
ARAY Healthcare "Medical Appliances & Equipment" 4.20 348.23M 2.70
ARCB Services Trucking 19.875 509.00M 2.90
ARCC Financial "Diversified Investments" 16.671 7.10B 2.10
ARCP index_error index_error 8.60  index_error
ARCPP index_error index_error 24.398  index_error
AREX "Basic Materials" "Independent Oil & Gas" 2.31 91.96M 2.70
ARIA index_error index_error 23.99  index_error
ARII Services Railroads 38.73 739.08M 2.80
ARLP "Basic Materials" "Industrial Metals & Minerals" 22.85 1.70B 2.20
ARMH index_error index_error   index_error
